Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Estimate TAM/SAM/SOM for EU agricultural compliance market,SCRUM-58,10251,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:56 AM,14/Apr/26 11:40 AM,,14/Apr/26 11:40 AM,,0,,,,,"Research and estimate the Total Addressable Market (TAM), Serviceable Addressable Market (SAM), and Serviceable Obtainable Market (SOM) for the Regulatory Compliance Navigator.\n\n- TAM: EU-wide agricultural compliance software/services across all 27 Member States\n- SAM: Countries with similar digital infrastructure and CAP implementation to Lithuania\n- SOM: Lithuania as pilot market (~150,300 holdings)\n\nCite all data sources. Include market size in EUR where possible.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000cn:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",Done,14/Apr/26 11:40 AM
Create Google Form with Lithuanian-translated questions,SCRUM-57,10249,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:52 AM,13/Mar/26 9:39 AM,,13/Mar/26 9:39 AM,,0,,,,,"Create a Google Form using the Lithuanian-translated interview questions. Structure the form to match the interview guide sections (Farm Context, Compliance Experience, Current Solutions, Solution Interest & WTP). Include appropriate question types (short answer, paragraph, multiple choice where relevant). Ensure the form is shareable and ready for distribution to farmers.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000cf:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:39 AM
Translate interview questions into Lithuanian,SCRUM-56,10247,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:52 AM,13/Mar/26 9:38 AM,,13/Mar/26 9:38 AM,,0,,,,,Translate the finalized interview guide questions and probes from English into Lithuanian. Ensure the translation sounds natural and conversational for Lithuanian-speaking farmers. Have a native speaker review the translation for accuracy and tone.,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000c7:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:38 AM
Add links to interview guide and notes template in Jira,SCRUM-55,10245,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:46 AM,13/Mar/26 9:38 AM,,13/Mar/26 9:38 AM,,0,,,,,"Upload the finalized interview guide and notes template to a shared location (e.g., Confluence or Google Drive) and add the links to the SCRUM-15 Jira issue description or comments for easy team access.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000bz:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:38 AM
Get team review and approval of the interview guide,SCRUM-54,10243,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:46 AM,13/Mar/26 9:38 AM,,13/Mar/26 9:38 AM,,0,,,,,Share the interview guide with the team for review. Collect feedback and incorporate any necessary changes. Get explicit approval from the team before proceeding with further interviews.,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000br:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:38 AM
Refine guide and notes template based on pilot feedback,SCRUM-53,10241,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:46 AM,13/Mar/26 9:38 AM,,13/Mar/26 9:38 AM,,0,,,,,"Based on findings from the pilot interview, refine the interview guide (adjust questions, probes, timing) and update the notes template to better capture relevant data. Document what changes were made and why.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000bj:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:38 AM
Conduct pilot interview with at least 1 farmer,SCRUM-52,10239,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:46 AM,13/Mar/26 9:38 AM,,13/Mar/26 9:38 AM,,0,,,,,Conduct at least 1 pilot interview with a farmer using the prepared interview guide and notes template. Document the full interview using the notes template. Record timing to verify the interview fits within the 20-minute target.,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000bb:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:38 AM
Create interview notes template for consistent documentation,SCRUM-51,10237,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:45 AM,13/Mar/26 9:38 AM,,13/Mar/26 9:38 AM,,0,,,,,"Design a structured notes template for consistent documentation across all farmer interviews. Should include fields for farmer profile, key quotes, pain points identified, current tools used, willingness to pay signals, and follow-up actions.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000b3:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:38 AM
Prepare opening and closing scripts,SCRUM-50,10235,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:45 AM,13/Mar/26 9:38 AM,,13/Mar/26 9:38 AM,,0,,,,,"Write natural-sounding opening and closing scripts for the interview. Opening should cover introduction, purpose, confidentiality, and consent for note-taking/recording. Closing should include wrap-up, open-ended final question, and permission for follow-up contact.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000av:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:38 AM
Draft interview guide with open-ended questions organized by theme,SCRUM-49,10233,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:45 AM,13/Mar/26 9:37 AM,,13/Mar/26 9:37 AM,,0,,,,,Create the semi-structured interview guide covering all sections:\n- Farm Context & CAP Engagement\n- Compliance Experience\n- Current Solutions & Workarounds\n- Solution Interest & Willingness to Pay\n\nEnsure questions are open-ended and allow flexibility for follow-up probing.,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000an:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:37 AM
Configurable Reminder Schedule,SCRUM-48,10199,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,13/Apr/26 4:37 PM,05/Mar/26 2:18 PM,13/Apr/26 4:37 PM,,0,"notifications,deadlines,settings",,,,"As a farmer, I want deadline reminders with configurable schedule so notifications match my workflow.



Acceptance Criteria:

- User can configure reminder offsets (for example 14/7/1 days before deadline).

- Reminders respect user timezone settings.

- Disabling reminders immediately stops future reminder triggers.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i00086:d,SCRUM questions Sprint 3,,,3.0,,,,,10166,SCRUM-27,Deadline Reminders and Notifications,Done,13/Apr/26 4:37 PM
Export Immutable Audit Logs,SCRUM-47,10198,Story,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,13/Apr/26 5:21 PM,05/Mar/26 2:01 PM,,,0,"audit,logging,compliance",,,,"As a system admin, I want immutable audit export so I can provide evidence during inspections.



Acceptance Criteria:

- Export supports date-range selection and CSV/JSON output.

- Export includes key events: login, profile update, report submit, sync actions.

- Export action itself is audit logged.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000a7:,SCRUM questions Sprint 4,,,8.0,,,,,10167,SCRUM-28,Audit Logging and Traceability,In Progress,13/Apr/26 5:21 PM
In-App Help Ticket Submission,SCRUM-46,10197,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,13/Apr/26 4:37 PM,05/Mar/26 2:01 PM,13/Apr/26 4:37 PM,,0,"support,helpdesk,ux",,,,"As a farmer, I want in-app help ticket entry so I can get support when I am stuck.



Acceptance Criteria:

- User can submit ticket with category, message, and optional screenshot.

- Ticket submission returns confirmation ID to user.

- User can view own ticket history and status.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i00086:b,SCRUM questions Sprint 3,,,8.0,,,,,10160,SCRUM-21,Mobile App Foundation,Done,13/Apr/26 4:37 PM
Regulation Change Feed,SCRUM-45,10196,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,13/Apr/26 4:37 PM,05/Mar/26 2:02 PM,13/Apr/26 4:37 PM,,0,"regulations,notifications,compliance",,,,"As a farmer, I want a rule-change feed so I can see what changed in CAP requirements.



Acceptance Criteria:

- Feed lists changes with effective date and summary.

- System tracks read/unread state per user.

- Feed items deep-link to impacted tasks or guidance pages.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i00086:9,SCRUM questions Sprint 3,,,5.0,,,,,10163,SCRUM-24,Compliance Tasks Module,Done,13/Apr/26 4:37 PM
Multi-language Interface and Content,SCRUM-44,10195,Story,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,13/Apr/26 5:21 PM,18/Mar/26 9:19 AM,,,0,"i18n,ux,localization",,,,"As a farmer, I want multilingual UI and content so I can use the app in my preferred language.



Acceptance Criteria:

- User can select language in settings.

- Selected language persists across app restart/login session.

- Release build blocks unresolved translation keys.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i00086:i,SCRUM questions Sprint 4,,,8.0,,,,,10160,SCRUM-21,Mobile App Foundation,In Progress,13/Apr/26 5:21 PM
Advisor Delegated Access,SCRUM-43,10194,Story,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,13/Apr/26 5:21 PM,13/Apr/26 4:48 PM,,,0,"auth,roles,advisors",,,,"As an advisor, I want delegated access to a farmer account so I can help prepare reports.



Acceptance Criteria:

- Farmer can invite and revoke advisor access by email.

- Advisor role supports scoped permissions (read-only, edit).

- All advisor actions are audit logged with actor identity.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0009b:,SCRUM questions Sprint 4,,,13.0,,,,,10161,SCRUM-22,Identity and Access,In Progress,13/Apr/26 5:21 PM
Task Risk and Penalty Explanation,SCRUM-42,10193,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,18/Mar/26 8:23 AM,11/Mar/26 9:38 AM,18/Mar/26 8:23 AM,,0,"tasks,risk,ux",,,,"As a farmer, I want in-app explanations of penalties and risk level so I can prioritize high-impact tasks.



Acceptance Criteria:

- Each task displays risk level: low, medium, or high.

- Task detail includes plain-language penalty/risk explanation.

- Risk content is configurable from backend content source.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0004e:8,SCRUM questions Sprint 2,,,5.0,,,,,10163,SCRUM-24,Compliance Tasks Module,Done,18/Mar/26 8:23 AM
Monthly Compliance Calendar View,SCRUM-41,10192,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 2:00 PM,16/Mar/26 12:16 PM,,16/Mar/26 12:16 PM,,0,"tasks,calendar,deadlines",,,,"As a farmer, I want a monthly compliance calendar view so I can plan work around deadlines.



Acceptance Criteria:

- Calendar shows deadlines with status-based color coding.

- Tapping a day opens linked compliance tasks.

- Overdue tasks remain visible until completed.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0004d:i,SCRUM questions Sprint 2,,,5.0,,,,,10163,SCRUM-24,Compliance Tasks Module,Done,16/Mar/26 12:16 PM
Resolve Sync Conflicts After Offline Mode,SCRUM-40,10191,Story,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:59 PM,13/Apr/26 5:21 PM,,,,0,"offline,sync,conflicts",,,,"As a farmer, I want conflict resolution after offline sync so I can choose correct values when data differs.



Acceptance Criteria:

- Conflict screen shows local and server values field-by-field.

- User can choose local or server value per conflicting field.

- Final merged result is saved, synced, and audit logged.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0008n:,SCRUM questions Sprint 4,,,8.0,,,,,10165,SCRUM-26,Offline Draft and Sync,In Progress,13/Apr/26 5:21 PM
Duplicate Previous Report as Draft,SCRUM-39,10190,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:59 PM,16/Mar/26 12:16 PM,,16/Mar/26 12:16 PM,,0,"reporting,productivity,mvp",,,,"As a farmer, I want to duplicate last year’s report so I can submit faster.



Acceptance Criteria:

- Duplicate action creates a new editable draft with copied values.

- Mandatory period/date fields are reset for current cycle.

- Duplicated draft follows normal submit validation flow.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0004e:4,SCRUM questions Sprint 2,,,3.0,,,,,10164,SCRUM-25,Basic Report Workflow,Done,16/Mar/26 12:16 PM
OCR Prefill from Uploaded Documents,SCRUM-38,10189,Story,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:59 PM,13/Apr/26 5:21 PM,06/Mar/26 11:02 AM,,,0,"ocr,automation,reporting",,,,"As a farmer, I want OCR on uploaded documents so key fields are prefilled in reports.



Acceptance Criteria:

- OCR extracts core fields: document type, date, and identifier/reference.

- User can review and edit extracted values before saving.

- Low-confidence extraction is visibly flagged for manual confirmation.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i00087:,SCRUM questions Sprint 4,,,8.0,,,,,10164,SCRUM-25,Basic Report Workflow,In Progress,13/Apr/26 5:21 PM
Upload Compliance Evidence Files,SCRUM-37,10188,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:59 PM,13/Apr/26 4:37 PM,05/Mar/26 2:22 PM,13/Apr/26 4:37 PM,,0,"attachments,reporting,compliance",,,,"As a farmer, I want to upload photo/PDF evidence to a task so that I can prove compliance during checks.



Acceptance Criteria:

- User can attach photo or PDF up to configured size limit.

- Attachment is visible in task detail and report preview.

- Failed upload shows clear error and retry option.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0007z:,SCRUM questions Sprint 3,,,5.0,,,,,10164,SCRUM-25,Basic Report Workflow,Done,13/Apr/26 4:37 PM
Log Key Compliance Actions,SCRUM-36,10175,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:38 PM,16/Mar/26 12:16 PM,05/Mar/26 1:49 PM,16/Mar/26 12:16 PM,,0,"audit,logging",,,,"As a system administrator, I want key user actions logged so that actions are traceable for compliance and support. AC: login/profile/report/sync events logged with user and timestamp; logs visible for debug/demo.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0004e:,SCRUM questions Sprint 2,,,3.0,,,,,10167,SCRUM-28,Audit Logging and Traceability,Done,16/Mar/26 12:16 PM
Deadline Reminder Notifications,SCRUM-35,10174,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:38 PM,13/Apr/26 4:37 PM,,13/Apr/26 4:37 PM,,0,"notifications,deadlines",,,,"As a farmer, I want reminders for upcoming deadlines so that I do not miss compliance dates. AC: reminder before due date; tap opens task detail; reminders can be disabled.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i00069:,SCRUM questions Sprint 3,,,3.0,,,,,10166,SCRUM-27,Deadline Reminders and Notifications,Done,13/Apr/26 4:37 PM
Save Report Draft Offline and Sync Later,SCRUM-34,10173,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,High,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:38 PM,13/Apr/26 4:37 PM,,13/Apr/26 4:37 PM,,0,"offline,sync,mvp",,,,"As a farmer, I want to save report drafts offline and sync later so that poor connectivity does not block me. AC: save and reopen draft offline; queue unsent actions; auto-sync on reconnect with visible sync result.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0007b:,SCRUM questions Sprint 3,,,8.0,,,,,10165,SCRUM-26,Offline Draft and Sync,Done,13/Apr/26 4:37 PM
Submit Basic Compliance Report,SCRUM-33,10172,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,High,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:38 PM,13/Apr/26 4:36 PM,06/Mar/26 11:02 AM,13/Apr/26 4:36 PM,,0,"reporting,mvp",,,,"As a farmer, I want to submit one basic compliance report so that I can complete required reporting digitally. AC: required fields validated; successful submit shows confirmation; item appears in history.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-18T09:52:18.000+0200"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,0|i00073:,SCRUM questions Sprint 3,,,8.0,,,,,10164,SCRUM-25,Basic Report Workflow,Done,13/Apr/26 4:36 PM
Task Details in Plain Language,SCRUM-32,10171,Story,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,High,Done,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,05/Mar/26 1:38 PM,18/Mar/26 8:23 AM,18/Mar/26 8:24 AM,18/Mar/26 8:23 AM,,0,"tasks,ux",,,,"As a farmer, I want plain-language instructions for each task so that I can complete compliance correctly. AC: what/when/why shown; non-legal language; backend-configurable content.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i0004e:8i,SCRUM questions Sprint 2,,,5.0,,,,,10163,SCRUM-24,Compliance Tasks Module,Done,18/Mar/26 8:23 AM
